# pfam_id_or_name	predicates (comma-separated)	note	merge_policy
# Duplicate rows require merge_policy=merge; otherwise loading fails.
AAA_15	aaa_domain,atp_binding,atpase
AAA_19	aaa_domain,atp_binding,atpase
AAA_21	aaa_domain,atp_binding
AAA_23	aaa_domain,atp_binding,atpase
AAA_5	aaa_domain,atp_binding
AAA_lid_3	aaa_domain,atp_binding
AAA_lid_8	aaa_domain,atp_binding
Arf	gtp_binding,gtpase,signaling
BRCT	dna_repair,protein_binding
Beta_helix	beta_helix
Bromo_TP	dna_binding,transcription
CAP12-PCTIR_TIR	defense_system
CBFD_NFYB_HMF	chromatin,dna_binding,histone
CBM96	carbohydrate_active,carbohydrate_binding
CDP-OH_P_transf	lipid_metabolism,phospholipid_metabolism,transferase
Cas_csx3	cas_domain,crispr_associated,defense_system
Csc2	cas_domain,crispr_associated,defense_system
CxxCxxCC	metal_binding,zinc_binding
DEAD	atp_binding,dna_repair,helicase
DEAD_2	atp_binding,helicase,rna_binding
DNA_pol3_delta2	clamp_loader,replication
DNA_pol_B	dna_polymerase,replication
DNA_pol_B_exo1	dna_polymerase,nuclease,replication
DNA_processg_A	dna_repair,recombinational_repair
DSPc	hydrolase,phosphatase
DevR	crispr_associated,defense_system
ERCC4	dna_repair,nuclease
Eco57I	nuclease,restriction_enzyme,restriction_modification
FeThRed_B	iron_sulfur,oxidoreductase,thioredoxin
Flg_new_2	repeat_domain
FtsJ	methyltransferase,rrna_modification
GATase	glutamine_amidotransferase,transferase
GIY-YIG	hydrolase,nuclease
GSH-S_ATP	ligase
GTP_EFTU	gtp_binding,gtpase,translation,translation_factor
Glyco_tranf_2_3	carbohydrate_active,glycosyltransferase,transferase
GmrSD_C	restriction_enzyme,restriction_modification
GmrSD_N	restriction_enzyme,restriction_modification
Gtr1_RagA	gtp_binding,gtpase
HD	hydrolase,metal_binding,phosphatase
HHH_5	dna_binding
HNH	hydrolase,nuclease
HNH_2	hydrolase,nuclease
HNH_5	hydrolase,nuclease
Histone	histone
JAB	deubiquitinase,protease
Kelch_5	kelch_repeat,repeat_domain
Lactamase_B	hydrolase,metal_binding
Lactamase_B_2	hydrolase,metal_binding
Lactamase_B_3	hydrolase,metal_binding
Lipocalin_2	beta_barrel
MCM_OB	helicase,replication,rna_binding
MCM_lid	helicase,replication
MMR_HSR1	gtp_binding,gtpase,ribosomal_protein,translation
MYG1_exonuc	nuclease,rna_processing
MazG	hydrolase,nucleotide_metabolism
MazG-like	hydrolase,nucleotide_metabolism
Metallophos	hydrolase,metal_binding,phosphatase
Metallophos_2	hydrolase,metal_binding,phosphatase
NERD	hydrolase,nuclease
NT5C	nucleotide_metabolism,phosphatase
NUDIX	hydrolase,nucleotide_metabolism
NikA-like	conjugation,mobile_element
NosD	copper_binding,metal_binding
PAP2	hydrolase,phosphatase
PAP2_3	hydrolase,phosphatase
PCNA_N	replication,sliding_clamp
PF00001	membrane
PF00002	membrane
PF00003	membrane
PF00004	aaa_domain,atp_binding,atpase
PF00005	abc_atpase,abc_transporter,atp_binding,transporter
PF00006	atp_binding,atp_synthesis,energy_metabolism
PF00009	gtp_binding,translation,translation_factor
PF00010	dna_binding,helix_loop_helix
PF00011	chaperone,small_hsp,stress_response
PF00012	atp_binding,chaperone,hsp70,stress_response
PF00013	rna_binding
PF00014	protease,regulator
PF00015	chemotaxis,membrane,signaling
PF00016	carbon_fixation,rubisco
PF00017	protein_binding
PF00018	protein_binding
PF00023	ankyrin_repeat,protein_binding,repeat_domain
PF00025	gtp_binding,gtpase
